Text,Source,User.Name,User.Screen_name,User.Location,User.Url,User.Description,User.Verified,User.Followers_count,User.Friends_count,User.Listed_count,User.Favourites_count,User.Statuses_count,User.Created_at,User.default_profile_image,User.following,Is_quote_status,Retweeted_status,Quote_count,Reply_count,Retweet_count,Favorite_count,Favorited,Retweeted,Possibly_sensitive,TweetLength,NumberOfWords,HasUrl,UrlCount,HasMentions,MentionsCount,HasHashtags,HashtagsCount,HasQuestionMark,QuestionMarkCount,HasExclamation,ExclamationCount,HasSpecialCharacter,SpecialCharacterCount,HasEmotions,EmotionsCount,AccountAge,FollowersToAccountAge,FriendsToAccountAge,StatusesCountToAccountAge,Class
Charlie Hebdo became well known for publishing the Muhammed cartoons two years ago,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Daniel Sandford,BBCDanielS,,http://t.co/tPNR3GoVZJ,"I am Home Affairs Correspondent for BBC News. Police, prisons, law, crime and terrorism. Before that Moscow Correspondent so still tweet about Russia/Ukraine.",TRUE,41591,2268,1657,0,15128,Fri Jul 08 14:32:54 +0000 2011,FALSE,FALSE,FALSE,null,null,null,202,41,FALSE,FALSE,FALSE,82,13,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,4,10397.75,567,3782,non-rumour
Charlie Hebdo?s Last Tweet Before Shootings http://t.co/9Oa2xAqOcM http://t.co/skJHNEQcn0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Guido Fawkes,GuidoFawkes,Guido.Fawkes@Order-Order.com,http://t.co/2tQYEIO1cg,https://t.co/OEbchV0UNB | G+ http://t.co/4ex2flvpsg,TRUE,139847,30,3015,216,58363,Tue Jan 02 19:22:19 +0000 2007,FALSE,FALSE,FALSE,null,null,null,144,20,FALSE,FALSE,FALSE,89,8,TRUE,2,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,6,FALSE,0,8,17480.875,3.75,7295.375,non-rumour
Prediction: the #CharlieHebdo massacre will not dent the political class's complacency one iota,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",James Delingpole,JamesDelingpole,daventry,http://t.co/zdVtGoqpbw,"Executive Editor, @BreitbartLondon ? I'm right about everything ? Buy The Little Green Book of Eco-Fascism here: http://t.co/d7UHJWNpZp",FALSE,22568,1127,719,58,20575,Sun Aug 10 14:04:20 +0000 2008,FALSE,FALSE,FALSE,null,null,null,103,62,FALSE,FALSE,FALSE,95,13,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,7,3224,161,2939.285714,non-rumour
"10:28am Charlie Hebdo account mocks ISIS leader, wishing him ""good health and best wishes"" http://t.co/9Oa2xAqOcM http://t.co/uYXayKLA7q","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Guido Fawkes,GuidoFawkes,Guido.Fawkes@Order-Order.com,http://t.co/2tQYEIO1cg,https://t.co/OEbchV0UNB | G+ http://t.co/4ex2flvpsg,TRUE,139870,30,3014,216,58370,Tue Jan 02 19:22:19 +0000 2007,FALSE,FALSE,FALSE,null,null,null,116,22,FALSE,FALSE,FALSE,136,16,TRUE,2,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,6,FALSE,0,8,17483.75,3.75,7296.25,non-rumour
"If your faith isn't strong enough to cope with satirical poke, it oughtn't be strong enough to induce you to kill. Barbaric #CharlieHebdo","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Max Wind-Cowie,MaxWindCowie,London,http://t.co/abDo0kQA6D,Cumbrian. Conservative. Royalist Leveller & pro-worker capitalist.,FALSE,2327,1270,66,612,20722,Sat May 15 22:24:54 +0000 2010,FALSE,FALSE,FALSE,null,null,null,105,55,FALSE,FALSE,FALSE,137,23,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,5,465.4,254,4144.4,non-rumour
Just arrived at scene of massacre #Paris #charliehebdo http://t.co/bxDwfuqRz8,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",Stefan de Vries,stefandevries,"Paris, Ile-de-France, France",http://t.co/75sIJeUJx9,"Post-nationalist Journalist | Int./EU/French politics | @RTLNieuwsnl, @France24, @VRT, @FranceInter & more | Views are mine, but yours soon. | For Rent",FALSE,8134,2241,479,344,21368,Tue May 08 16:02:23 +0000 2007,FALSE,FALSE,FALSE,null,null,null,167,24,FALSE,FALSE,FALSE,77,9,TRUE,1,FALSE,0,TRUE,2,FALSE,0,FALSE,0,TRUE,3,FALSE,0,8,1016.75,280.125,2671,non-rumour
Police car with bullet holes in front of Charlie hebdo headquarter. Photo  @WilliamMolinie http://t.co/lzQdhJ6kxR,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",The Observers,Observers,"Paris, France",http://t.co/rmtzsih6nY,"Along with our Observers, we produce a website and a weekly TV show on @FRANCE24. Send us your amateur videos and photos using #obs and become an Observer...",TRUE,9027,365,333,6,6578,Tue Sep 30 07:44:45 +0000 2008,FALSE,FALSE,FALSE,null,null,null,398,53,FALSE,FALSE,FALSE,113,15,TRUE,1,TRUE,1,FALSE,0,FALSE,0,FALSE,0,TRUE,3,FALSE,0,7,1289.571429,52.14285714,939.7142857,non-rumour
Police car with bullet holes in front of Charlie hebdo headquarter. Photo  @WilliamMolinie http://t.co/k6inhBmGsf,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Julien Pain,JulienPain,Paris,http://t.co/voM2SW5JHQ,Responsable Çditorial du site et de l'Çmission des @observateurs de @france24. In charge of the participative project The @observers at @france24.,TRUE,6485,506,206,48,4454,Wed Oct 24 11:44:31 +0000 2007,FALSE,FALSE,FALSE,null,null,null,112,11,FALSE,FALSE,FALSE,113,15,TRUE,1,TRUE,1,FALSE,0,FALSE,0,FALSE,0,TRUE,3,FALSE,0,8,810.625,63.25,556.75,non-rumour
Every newspaper in Europe should publish those cartoons from Charlie Hebdo tomorrow. Every single one.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",John McGuirk,john_mcguirk,Monaghan/Dublin,null,You only think you hate me.,FALSE,6139,1716,173,1386,96127,Thu Mar 12 13:51:29 +0000 2009,FALSE,FALSE,FALSE,null,null,null,1610,759,FALSE,FALSE,FALSE,102,15,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,6,1023.166667,286,16021.16667,non-rumour
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Harry Cole,MrHarryCole,SW1,http://t.co/PmYdpNTJdP,"Contributing Editor of The @Spectator. Find me daily on @guidofawkes, weekly in the @theSunNewspaper and monthly in @BritishGQ. harry.cole@order-order.com",FALSE,37176,3016,999,634,92151,Tue Jul 08 01:56:27 +0000 2008,FALSE,FALSE,FALSE,null,null,null,4174,1568,FALSE,FALSE,FALSE,138,18,TRUE,1,FALSE,0,FALSE,0,TRUE,1,FALSE,0,TRUE,3,FALSE,0,7,5310.857143,430.8571429,13164.42857,non-rumour
It's a massacre. There are dead!' employee of Charlie Hebdo tells French media outlet before call disconnects http://t.co/Q27XnP3AS3,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT,RT_com,,http://t.co/bDDyvy9DmR,"RT, the global news network, broadcasts from Moscow, London and Washington studios to over 100 countries.",TRUE,842395,460,13579,26,105015,Tue Aug 11 06:12:45 +0000 2009,FALSE,FALSE,FALSE,null,null,null,115,21,FALSE,FALSE,FALSE,133,18,TRUE,1,FALSE,0,FALSE,0,FALSE,0,TRUE,1,TRUE,3,FALSE,0,6,140399.1667,76.66666667,17502.5,non-rumour
If religion ? any religion ? is off-limits for open debate we are in a very dangerous situation. #Freedomofexpression #CharlieHebdo,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Secularism UK,NatSecSoc,UK,http://t.co/dHLnwsWaOd,National Secular Society. Britain's only national organisation working exclusively towards a secular society.,FALSE,19303,1087,521,275,11701,Sat Mar 07 13:02:21 +0000 2009,FALSE,FALSE,FALSE,null,null,null,158,61,FALSE,FALSE,FALSE,131,20,FALSE,0,FALSE,0,TRUE,2,FALSE,0,FALSE,0,TRUE,1,FALSE,0,6,3217.166667,181.1666667,1950.166667,non-rumour
#CharlieHebdo published a cartoon of the notorious #ISIS leader last week (They've just tweeted the pic again). http://t.co/YYyxzNaFFb,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",Ruwayda Mustafah,RuwaydaMustafah,"London, UK.",null,British-Kurdish Blogger on @HuffingtonPost. PhD International Politics student.,FALSE,44878,812,1116,1963,59169,Wed Jan 06 16:54:47 +0000 2010,FALSE,FALSE,FALSE,null,null,null,219,54,FALSE,FALSE,FALSE,134,18,TRUE,1,FALSE,0,TRUE,2,FALSE,0,FALSE,0,TRUE,5,FALSE,0,5,8975.6,162.4,11833.8,non-rumour
"The right to mock &amp; criticise religion is a key tenet of a free and democratic society, whether it be Islam or Christianity. #CharlieHebdo","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Julia Hartley-Brewer,JuliaHB1,London,null,"Journalist and broadcaster. Ex-LBC presenter, newspaper political editor & columnist. Married to 1st husband, mum to my gorgeous girl. All views mine blah blah.",FALSE,22212,121,204,641,17893,Mon Jan 09 16:23:03 +0000 2012,FALSE,FALSE,FALSE,null,null,null,172,88,FALSE,FALSE,FALSE,142,24,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,1,FALSE,0,3,7404,40.33333333,5964.333333,non-rumour
French newspaper Charlie Hebdo's last tweet before gunmen attack http://t.co/vsjId0EWRk http://t.co/yJhgbhIXQ6,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Daily Mail Online,MailOnline,,http://t.co/5os3efPsqo,Top stories from the Daily Mail. Follow @DailyMail for U.S. news and @DailyMailPics for photos. Facebook: http://t.co/jA8nz6NN5Z,TRUE,818578,2355,7650,464,125646,Tue Jul 15 10:17:46 +0000 2008,FALSE,FALSE,FALSE,null,null,null,213,27,FALSE,FALSE,FALSE,110,11,TRUE,2,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,6,FALSE,0,7,116939.7143,336.4285714,17949.42857,non-rumour
"Today's #CharlieHebdo cover on Houellebecq: ""In 2022 I'll observe Ramadan"" http://t.co/G7zbitA3Cj","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Mathieu von Rohr,mathieuvonrohr,"Hamburg, Germany",http://t.co/pDcRyeWGE8,"Deputy Head of Foreign Desk / Stv. Ressortleiter Ausland, DER SPIEGEL. Former Paris bureau chief, Swiss expat. Views my own, RTs ? endorsements.",TRUE,6975,1174,375,1105,19444,Tue Nov 04 09:20:39 +0000 2008,FALSE,FALSE,FALSE,null,null,null,133,28,FALSE,FALSE,FALSE,97,11,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,3,FALSE,0,7,996.4285714,167.7142857,2777.714286,non-rumour
#CharlieHebdo. That is all. http://t.co/9zzpYZcAJ8,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",alexmassie,alexmassie,Scotland,http://t.co/N8hkeMntrz,"Freelance hack, Spectator blogger, disappointingly poor cricketer. Not writing a novel. Contact: http://t.co/D1ges9sbXx",FALSE,14101,818,472,163,41513,Thu Feb 21 03:11:27 +0000 2008,FALSE,FALSE,FALSE,null,null,null,627,222,FALSE,FALSE,FALSE,50,5,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,3,FALSE,0,7,2014.428571,116.8571429,5930.428571,non-rumour
"If this cartoon is why #CharlieHebdo staff have been shot at, all publications should show solidarity and republish http://t.co/LGuUi7dj1u","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",John Sargeant,JPSargeant78,United Kingdom,http://t.co/wSUAkiPRzc,Homo economicus' Weblog & @HuffPostBlog (link via blog below) #Secularism #Religion #Atheism #Politics Volunteered @rdfrs & website. RT mean read/discuss only,FALSE,2292,1559,57,7609,44469,Wed May 25 18:09:54 +0000 2011,FALSE,FALSE,FALSE,null,null,null,493,167,FALSE,FALSE,FALSE,138,19,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,3,FALSE,0,4,573,389.75,11117.25,non-rumour
Solidarity with Charlie Hebdo. http://t.co/gvLp0NwLax,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Jamie Palmer,jacobinism,Muswell Hill,http://t.co/7aZR9rbn7B,Films. Writes. Argues. Doesn't Sleep Much. Centre Left Hawk. Counter-Counter-Enlightenment. Favourites/follows/links/RTs ? endorsement.,FALSE,2318,1825,63,2636,28961,Tue Sep 04 02:10:39 +0000 2012,FALSE,FALSE,FALSE,null,null,null,334,98,FALSE,FALSE,FALSE,53,5,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,3,FALSE,0,3,772.6666667,608.3333333,9653.666667,non-rumour
"Charlie Hebdo's Nov 2011 CHARIA HEBDO ""guest-edited"" by Muhammad:""100 lashes of the whip if you don't die laughing."" http://t.co/5EzG448CNm","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",cecilia udden,ceciliauddenm,Cairo,http://t.co/ZNJHoTRM0j,"cecilia.udden@sr.se Middle East Correspondent, Swedish Broadcasting @sverigesradio. I dwell in Cairo, Umm Al Dunya. The usual caveats.",FALSE,14311,1289,219,34,4574,Mon Apr 06 17:07:18 +0000 2009,FALSE,FALSE,FALSE,null,null,null,303,70,FALSE,FALSE,FALSE,139,19,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,4,FALSE,0,6,2385.166667,214.8333333,762.3333333,non-rumour
"Charlie Hebdo's last cartoon on Twitter: Abu Bakr al-Baghdadi saying ""and especially, health!"" (New Year's greeting) http://t.co/UMEWDeR6z4","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",DavidKenner,DavidKenner,"Beirut, Lebanon",http://t.co/2sRF45O5Q5,"Middle East Editor, Foreign Policy magazine.",TRUE,27355,1574,1332,1963,34620,Thu Oct 23 17:43:13 +0000 2008,FALSE,FALSE,FALSE,null,null,null,217,44,FALSE,FALSE,FALSE,139,17,TRUE,1,FALSE,0,FALSE,0,FALSE,0,TRUE,1,TRUE,6,FALSE,0,7,3907.857143,224.8571429,4945.714286,non-rumour
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/gG5ZCJK9Ac","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",EnaLolena,EnaLolena,slavs soul,null,"Faculty of Criminal Justice, Criminology and Security Studies
specialization counter-terorism!in the Organization for Security and Co-EU
Paris
truth/ justice",FALSE,2110,891,74,26511,78453,Fri Jun 20 22:08:50 +0000 2014,FALSE,FALSE,FALSE,null,null,null,218,51,FALSE,FALSE,FALSE,138,18,TRUE,1,FALSE,0,FALSE,0,TRUE,1,FALSE,0,TRUE,3,FALSE,0,1,2110,891,78453,non-rumour
