BBCDanielS,count_user
GuidoFawkes,11
JamesDelingpole,15
GuidoFawkes,11
MaxWindCowie,12
stefandevries,13
Observers,9
JulienPain,10
john_mcguirk,12
MrHarryCole,11
RT_com,6
NatSecSoc,9
RuwaydaMustafah,15
JuliaHB1,8
MailOnline,10
mathieuvonrohr,14
alexmassie,10
JPSargeant78,12
jacobinism,10
ceciliauddenm,13
DavidKenner,11
EnaLolena,9
ChrChristensen,14
konbini,7
DJack_Journo,12
Independent,11
JuliaHB1,8
andrew_mueller,14
KarlreMarks,11
ggreenwald,10
PHammondMP,10
surfnuttz,9
IndexCensorship,15
thejohnsimpson,14
J_Bloodworth,12
malachybrowne,13
BBCBreaking,11
SkyNews,7
pieterkleinrtl,14
RT_com,6
DJack_Journo,12
euronews,8
RT_com,6
jenanmoussa,11
Mohammed_Amin,13
DavidJo52951945,15
jane__bradley,13
AFPphoto,8
IvoVegter,9
timsullivan23,13
piersmorgan,11
alexstubb,9
russian_market,14
SimonNRicketts,14
MayorofLondon,13
cnni,4
thedailymash,12
pressahmadiyya,14
SukhSandhu,10
MsIntervention,14
cartoonmovement,15
NBCNews,7
steveclarkuk,12
ninaburleigh,12
Heresy_Corner,13
AnnTelnaes,10
BloomfieldSJ,12
AgnesCPoirier,13
destroyoislamo,14
FoxNews,7
abelicc,7
MailOnline,10
dhume,5
MuslimCouncil,13
holland_tom,11
Rajyasree,9
BBCNewsGraphics,15
ATEEKSTER,9
iyad_elbaghdadi,15
SkyNews,7
laurenzcollins,14
BenWeinthal,11
gchikermane,11
AdityaRajKaul,13
jean_jullien,12
J_Bloodworth,12
ynetnews,8
markthomasinfo,14
mjrharris,9
nytimes,7
TRobinsonNewEra,15
mehdirhasan,11
AnonyOps,8
koertdebeuf,11
MartinDaubney,13
PeterTatchell,13
mmoskvit,8
Telegraph,9
KuperSimon,10
LibyanBentBladi,15
Colvinius,9
BarbaraDemick,13
simon_schama,12
Charles_Lister,14
MailOnline,10
An0nKn0wledge,13
JonnyGeller,11
JFXM,4
iyad_elbaghdadi,15
Conflict_Report,15
guardian,8
hrw,3
iyad_elbaghdadi,15
MattWelch,9
JandMo,6
AbiePB,6
BBCWorld,8
CEMB_forum,10
Hayley_Barlow,13
UNESCO,6
zaidbenjamin,12
Journalism2ls,13
edwardlucas,11
uli_speck,9
KateAllenAI,11
JeffreyGoldberg,15
iyad_elbaghdadi,15
cnnbrk,6
AJEnglish,9
leninology,10
mrjohnofarrell,14
OwensDamien,11
AndyBarnett6,12
ThePoke,7
Bonn1eGreer,11
edwardedark,11
FGoria,6
CynicalSultan,13
USATODAY,8
RupertMyers,11
aellick,7
MirabilisDave,13
PzFeed,6
FHeisbourg,10
PassingKindness,15
Jonathan_Witt,13
astroehlein,11
kenanmalik,10
RachelDonadio,13
Independent,11
pressfreedom,12
CharleneWhite,13
IlanBenZion,11
harun_yahya,11
TarekFatah,10
NATO,4
JonnnyBest,10
Claire_Phipps,13
guardiannews,12
bbc5live,8
SkyNews,7
davidschneider,14
baghdadinvest,13
rishibagree,11
RT_com,6
USATODAY,8
deYook,6
SMSFCoach,9
AMTomchak,9
OwenJones84,11
AFPphoto,8
CNN,3
Parazhit,8
iyad_elbaghdadi,15
MaajidNawaz,11
AnthonyMKreis,13
GodlessUtopia,13
sheeraf,7
EmilyKoch22,11
guardian,8
RitaPanahi,10
israfilaydemir,14
securitythinker,15
MsIntervention,14
kenanmalik,10
JazzShaw,8
selfstyledsiren,15
pressfreedom,12
NeilMackay,10
sonaliranade,12
israfilaydemir,14
RT_com,6
NewHumanist,11
Yair_Rosenberg,14
IndexCensorship,15
MadAxes,7
AhmadiyyatIslam,15
guardian,8
GLove39,7
SukhSandhu,10
NewspaperWorld,14
TarekFatah,10
euronews,8
PoliceChiefs,12
guardiannews,12
Will_Antonin,12
israfilaydemir,14
SkyNews,7
StewartWood,11
NYTimesCohen,12
MariamVeiszadeh,15
iyad_elbaghdadi,15
BenWeinthal,11
NewStatesman,12
birgittaj,9
NBCNews,7
BradThor,8
warren_bass,11
thedailybeast,13
GuyVerhofstadt,14
Whoozley,8
CNNVideo,8
TelegraphNews,13
BuzzFeedUK,10
simon_price01,13
WSJ,3
guardiannews,12
RashtrapatiBhvn,15
Aboujahjah,10
benshapiro,10
shumylaj,8
shashj,6
BBCBreaking,11
MaggieJordanACN,15
guardian,8
MatthewdAncona,14
LibyaLiberty,12
AnshelPfeffer,13
PankajPachauri,14
isasun,6
Independent,11
20committee,11
article19org,12
Herb_Wunar,10
TriviumPaolo,12
comicsandcola,13
justinjm1,9
WSJ,3
notfabrice,10
lauraleishman,13
SimonTOverall,13
williamoconnor5,15
MaajidNawaz,11
SudheenKulkarni,15
StephenMangan,13
calestous,9
aligokal,8
Independent,11
billhobbs,9
TarekFatah,10
PhysicsHenry,12
JohnJohnsonson,14
cnni,4
europeanleft,12
bouckap,7
abgutman,8
laurenzcollins,14
BBCtrending,11
mathieuvonrohr,14
cocobyname,10
doctorcdf,9
alainevon,9
FoxNews,7
NUJofficial,11
adelesmithNYC,13
KevinGFox,9
haikus_by_KN,12
FRANCE24,8
LibertarianGeo,14
MaajidNawaz,11
JuliaHB1,8
FraserNelson,12
BSchmeitzner,12
StianValla,10
LotteLeicht1,12
jacobwe,7
bouckap,7
PGourevitch,11
Mediaite,8
kimwillsher1,12
wikileaks,9
CNN,3
TarekFatah,10
PeterTatchell,13
jackyaljaz,10
jeffstinco,10
AndrewBloch,11
cnni,4
JustinTrudeau,13
channeldraw,11
movingpictureTV,15
CasMudde,8
EU_Humanists,12
justinjm1,9
guardian,8
martelf,7
SkyNewsBreak,12
Arsova,6
a_picazo,8
FredZeppelin12,14
RezaMoradi,10
TarekFatah,10
fgeffardAFP,11
pinknews,8
aliamjadrizvi,13
rupasubramanya,14
MailOnline,10
bouckap,7
nytimesworld,12
Maryam_Rajavi,13
Benoit_CR,9
thedailybeast,13
AFPphoto,8
walterolson,11
Maryam_Rajavi,13
Maryam_Rajavi,13
nytimes,7
CNN,3
timesofindia,12
AFPphoto,8
ThomasPride,11
bouckap,7
